date|time|description|vendor|amount
2025-07-18|06:08:15|Dwarf Hairgrass|Aquashella Expo|-420.7
2023-04-27|03:18:22|Aquarium Salt|PetSmart|-353.55
2023-08-15|06:40:42|Anubias Nana|Fluval|-487.61
2023-07-08|10:10:26|Cherry Barbs (Pair)|Aquashella Expo|-185.06
2025-06-30|03:44:21|Tetra Flake Food|Seachem|-114.55
2025-04-18|06:04:46|Cherry Barbs (Pair)|Aquashella Expo|-55.96
2023-10-06|09:49:00|Frozen Bloodworms|Fluval|-303.32
2023-05-17|03:32:33|Vitamins for Tropical Fish|Tetra|-94.76
2024-06-18|06:39:06|Java Fern|Fluval|-95.8
2023-12-05|02:46:28|AquaFest Revenue|Seachem|66.24
2023-08-27|08:30:42|Water Quality Testing|Aquatic Plant Depot|-476.51
2024-01-22|09:31:34|Angel Fish|AquaWorld Supplies|-95.19
2024-05-29|01:09:49|Moneywort|Seachem|-358.82
2025-08-26|06:52:14|Java Fern|Seachem|-252.03
2023-11-14|10:34:19|Dwarf Hairgrass|Seachem|-367.69
2025-09-10|04:38:07|Hardscape Design Basics|FreshFin Aquatics|389.79
2024-05-05|07:51:55|Water Quality Testing|Omega One|-29.19
2023-07-15|08:18:36|Betta Revive|Tetra|-393.2
2025-10-02|02:08:11|Cherry Barbs (Pair)|Seachem|-206.21
2024-10-17|07:03:25|Filter Media Change|PetSmart|-292.4
2023-12-01|08:30:48|Dwarf Hairgrass|Seachem|-373.73
2025-10-15|06:11:55|Pygmy Corydoras Catfish (6 Pack)|Tetra|-250.26
2024-10-29|07:04:40|Ich-X Treatment|Aquashella Expo|-154.75
2023-11-30|12:27:19|Live Demo: Building a Nano Tank|Aquatic Plant Depot|149.27
2025-06-03|04:03:13|Frozen Bloodworms|AquaLuxe Design|-112.8
2024-11-13|02:29:18|Aquashella Orlando Booth Sales|Omega One|1347.59
2025-01-09|10:17:57|Algae Wafers|AquaWorld Supplies|-107.29
2025-01-21|09:02:22|Fish Food - Pellets|Tetra|-342.04
2025-05-29|09:40:13|Java Fern|Fluval|-443.55
2024-11-29|10:29:18|Filter Replacement Service|PetSmart|-161.25
2023-10-12|07:44:13|AquaFest Revenue|FreshFin Aquatics|1207.73
2024-04-12|04:21:09|Cryptocoryne Wendtii|FreshFin Aquatics|-15.78
2024-12-05|02:09:23|Aquarium Setup Consultation|PetSmart|-282.44
2023-08-29|01:19:44|Ich-X Treatment|Aquatic Plant Depot|-428.0
2025-06-24|10:39:48|Java Fern|Aquashella Expo|-474.13
2025-02-08|06:06:00|Filter Replacement Service|Tetra|-461.42
2024-08-31|01:50:49|Tetra Flake Food|Seachem|-258.15
2025-04-02|10:38:47|Betta Fish (Halfmoon)|Seachem|-182.22
2025-07-24|12:30:27|Tetra Flake Food|AquaWorld Supplies|-117.61
2025-05-29|06:42:25|AquaFest Revenue|PetSmart|1183.25
2024-11-21|05:44:09|Tetra Flake Food|Aquashella Expo|-151.64
2023-12-20|03:07:20|AquaFest Revenue|Seachem|793.58
2024-06-08|02:36:58|Aquarium Setup Consultation|Aquatic Plant Depot|-68.44
2024-04-24|03:05:43|Anubias Nana|AquaLuxe Design|-284.0
2024-11-20|05:02:31|Amazon Sword|Tetra|-124.98
2024-06-24|09:24:11|Amazon Sword|Omega One|-79.3
2024-04-03|03:04:32|Ludwigia Repens|Tetra|-254.89
2023-07-23|07:24:06|Aquashella Dallas Booth Sales|Tetra|968.06
2023-02-10|12:26:44|AquaFest Revenue|Aquatic Plant Depot|1482.82
2025-09-17|11:41:26|Celestial Pearl Danio|Seachem|-285.56
2023-06-23|03:43:33|Water Conditioner - Prime|AquaLuxe Design|-437.69
2023-02-16|06:04:20|Pea Puffer Trio|Aquatic Plant Depot|-156.04
2024-03-06|08:08:56|Betta Revive|PetSmart|-318.85
2024-11-11|12:18:45|Pump Repair|PetSmart|-385.35
2023-10-29|12:42:10|Filter Replacement Service|AquaLuxe Design|-457.99
2025-10-08|11:57:38|Planting Techniques Workshop|Tetra|583.44
2023-05-05|12:01:47|Planting Techniques Workshop|PetSmart|744.49
2024-03-06|07:27:13|Hornwort|PetSmart|-28.16
2024-01-13|08:59:30|Cryptocoryne Wendtii|Aquatic Plant Depot|-462.73
2025-05-28|04:33:22|Water Wisteria|Omega One|-168.07
2025-07-14|06:11:18|Betta Tank Setup Lesson|Tetra|469.82
2023-07-17|08:24:46|Amazon Sword|FreshFin Aquatics|-11.03
2024-01-18|01:50:23|Planting Techniques Workshop|FreshFin Aquatics|1207.75
2025-08-21|09:02:53|Hardscape Design Basics|AquaWorld Supplies|1383.69
2023-10-11|02:27:06|Tetra Flake Food|Omega One|-207.42
2023-05-31|04:20:56|Electric Blue Cichlid|AquaWorld Supplies|-47.11
2023-09-25|07:05:15|Betta Tank Setup Lesson|FreshFin Aquatics|1286.45
2023-01-10|10:55:43|Filter Replacement Service|Fluval|-273.93
2024-11-05|01:47:00|Pump Repair|Aquashella Expo|-352.63
2024-10-04|10:03:22|Vitamins for Tropical Fish|Aquatic Plant Depot|-289.97
2024-11-19|04:06:26|Hardscape Design Basics|Aquatic Plant Depot|126.98
2025-01-28|09:18:22|Green Spotted Puffer Juvenile|Fluval|-233.25
2025-05-30|10:26:11|Mystery Snail (Golden)|AquaLuxe Design|-194.64
2023-08-20|05:19:17|Water Wisteria|Seachem|-457.37
2023-02-24|12:37:18|Aquashella Orlando Booth Sales|FreshFin Aquatics|1074.86
2023-08-07|04:43:25|Betta Tank Setup Lesson|Fluval|1431.19
2024-06-15|10:18:00|Water Wisteria|FreshFin Aquatics|-420.25
2024-12-04|08:00:48|Water Quality Testing|AquaWorld Supplies|-179.3
2024-02-29|04:57:33|Cryptocoryne Wendtii|Omega One|-423.43
2023-01-04|04:16:07|Anubias Nana|Fluval|-271.19
2024-09-25|05:35:08|Live Demo: Building a Nano Tank|Fluval|790.25
2025-02-01|10:41:23|Hornwort|Seachem|-208.05
2024-04-19|03:27:01|Aquarium Expo Ticket Sales|Aquashella Expo|1491.7
2025-01-02|06:29:06|Bumblebee Goby (Pair)|Fluval|-440.15
2023-02-02|03:49:14|Betta Revive|AquaLuxe Design|-92.36
2025-01-13|03:37:29|Aquarium Expo Ticket Sales|Seachem|596.57
2023-07-11|05:40:08|Frozen Bloodworms|Aquashella Expo|-96.75
2023-03-31|03:15:59|Aquarium Setup Consultation|FreshFin Aquatics|-146.17
2023-10-12|11:37:00|Frozen Bloodworms|PetSmart|-297.4
2025-04-08|12:47:37|Aquashella Orlando Booth Sales|FreshFin Aquatics|573.97
2025-05-14|03:25:48|Ludwigia Repens|AquaLuxe Design|-297.31
2025-01-11|05:36:49|Betta Revive|Aquashella Expo|-363.82
2023-04-21|10:45:42|Aquashella Orlando Booth Sales|Fluval|1155.61
2023-11-14|05:01:56|Planting Techniques Workshop|Omega One|1233.13
2023-04-14|01:25:42|Ludwigia Repens|PetSmart|-306.64
2024-12-17|06:12:00|Betta Fish (Halfmoon)|Tetra|-360.97
2024-01-06|04:13:46|Betta Tank Setup Lesson|Seachem|633.51
2025-05-04|06:55:53|Water Wisteria|Omega One|-293.15
2024-12-31|03:53:27|Hornwort|Aquatic Plant Depot|-101.12
2023-10-30|04:30:14|Intro to Aquascaping Class|Fluval|308.15
2025-08-28|09:40:13|Moneywort|PetSmart|-411.24
2023-01-27|03:54:05|AquaFest Revenue|Seachem|772.87
2023-08-06|04:42:48|Kuhli Loach (3 Pack)|Aquatic Plant Depot|-397.46
2025-07-31|10:04:29|Aquashella Dallas Booth Sales|Fluval|775.05
2024-07-01|11:09:39|Aquashella Orlando Booth Sales|Omega One|1360.09
2024-07-17|06:11:20|Java Fern|FreshFin Aquatics|-105.45
2025-03-25|03:13:03|Dwarf Hairgrass|AquaLuxe Design|-286.3
2023-09-16|12:04:38|Green Spotted Puffer Juvenile|AquaLuxe Design|-291.93
2023-07-14|12:44:51|Water Conditioner - Prime|Aquashella Expo|-178.72
2023-08-31|10:09:06|Betta Tank Setup Lesson|Tetra|340.59
2023-07-02|01:30:21|Pea Puffer Trio|Fluval|-156.24
2025-09-19|01:02:05|Betta Tank Setup Lesson|Fluval|485.83
2024-12-19|08:25:10|Aquarium Salt|Aquashella Expo|-144.36
2025-03-05|08:17:04|Green Spotted Puffer Juvenile|Omega One|-163.3
2024-08-23|10:00:10|Aquashella Dallas Booth Sales|Aquashella Expo|896.18
2023-08-21|09:20:08|Tetra Flake Food|FreshFin Aquatics|-216.06
2024-04-20|04:57:36|AquaFest Revenue|Seachem|1380.81
2023-01-24|03:12:50|Filter Media Change|PetSmart|-249.09
2025-04-29|09:24:54|Intro to Aquascaping Class|Tetra|320.36
